NAME: Beijing-5
VERTICES: 2820
DEPOT: 0
REQUIRED EDGES: 1792
NON-REQUIRED EDGES: 1792
VEHICLES: 30
CAPACITY: 25000
TOTAL COST OF REQUIRED EDGES: 727122
NODES	COST	DEMAND
0	1	437	0
1	2	194	194
3	4	197	197
5	6	209	209
7	8	296	0
9	10	695	0
11	12	257	0
13	14	57	57
15	16	89	89
16	17	546	0
18	19	250	0
20	21	2140	2140
22	23	344	344
24	25	569	569
26	27	87	87
28	29	791	0
29	30	264	0
31	32	674	0
32	33	441	0
34	0	118	118
35	36	60	0
37	38	181	0
39	40	198	198
41	42	481	0
43	44	294	294
44	45	471	471
46	29	427	427
29	47	659	659
48	49	214	214
50	51	287	287
51	52	158	158
53	54	684	684
55	53	69	69
30	29	264	0
29	28	790	790
56	57	185	0
58	59	277	0
60	61	125	125
61	62	932	932
63	64	981	0
65	66	224	0
67	68	957	957
69	70	364	0
70	51	433	433
71	72	62	62
72	73	2006	0
74	75	164	0
76	77	344	344
78	79	94	94
80	81	167	0
82	83	89	0
84	85	269	0
86	84	192	192
87	88	334	0
88	86	521	0
86	89	170	0
89	85	296	0
90	91	66	66
91	92	202	0
93	94	62	62
94	95	476	476
96	97	491	491
98	99	302	302
100	101	84	0
102	103	213	213
104	105	170	0
106	107	388	388
107	108	4119	0
109	110	53	0
111	80	56	0
112	100	94	94
113	90	290	0
114	115	224	0
115	116	257	257
116	117	130	130
117	118	269	0
118	119	686	0
120	121	266	0
122	123	954	0
123	124	317	317
125	126	236	236
127	128	134	0
129	130	237	0
131	132	212	0
133	134	1115	1115
134	135	359	359
136	137	462	462
138	139	180	0
139	140	58	58
132	141	593	0
139	142	347	347
143	144	167	167
145	146	183	0
147	148	120	0
149	150	790	0
150	151	603	603
144	152	59	0
153	154	479	0
148	155	271	0
156	157	216	216
8	158	1111	0
159	160	197	0
160	161	498	498
162	163	1112	1112
164	165	78	78
166	167	950	950
168	166	417	0
169	143	184	0
170	145	167	0
171	172	652	0
172	138	572	572
173	174	796	796
175	176	859	0
176	177	152	0
177	178	344	344
178	179	218	0
179	180	896	896
180	181	143	0
182	183	339	339
184	171	298	298
185	186	496	0
187	188	265	0
188	189	594	0
190	191	309	309
192	193	247	0
194	195	197	0
196	197	52	52
197	198	182	0
198	199	56	56
199	200	520	520
201	202	298	0
203	173	781	0
204	205	865	865
206	207	519	0
208	209	317	0
210	211	1054	0
212	213	423	423
214	215	96	96
215	198	509	509
198	216	78	78
216	217	681	0
218	219	804	0
219	220	338	338
68	221	299	0
221	222	550	550
223	224	340	340
225	226	525	0
226	227	51	51
15	17	624	624
228	229	248	0
230	228	424	424
195	231	72	0
232	233	156	156
233	234	136	0
235	236	172	172
236	237	880	0
238	239	518	518
240	241	534	534
242	243	243	243
244	245	88	0
246	247	447	447
247	248	743	0
249	250	269	269
251	252	56	56
253	254	291	0
255	246	180	0
252	256	316	0
256	257	379	379
257	258	215	215
259	260	331	331
261	262	402	0
263	264	520	520
265	266	189	0
264	267	1045	0
248	247	742	0
247	268	446	446
269	270	204	0
270	271	185	185
272	273	304	304
274	275	277	0
276	277	464	464
278	279	461	461
280	281	528	0
282	283	533	0
283	284	528	0
285	286	50	50
287	288	486	486
68	289	174	0
289	290	327	327
290	291	181	0
291	292	347	347
241	293	139	0
293	294	166	0
295	285	52	0
249	296	199	0
297	298	400	0
249	299	215	215
300	301	307	0
302	303	57	0
304	208	542	0
305	196	802	802
306	307	183	183
308	309	180	180
310	311	169	169
312	313	288	288
314	315	765	765
315	316	53	53
317	318	326	326
284	319	693	0
320	206	781	781
321	322	280	280
323	324	796	0
324	325	358	358
326	327	305	305
328	329	694	694
329	330	108	0
331	298	52	52
298	332	602	0
332	333	498	0
334	335	374	374
329	336	55	0
337	338	101	101
339	329	56	0
340	341	448	448
323	341	251	251
342	121	266	0
343	103	79	0
130	344	211	211
344	345	221	221
346	129	363	363
126	131	363	363
347	348	590	0
349	125	211	211
342	350	65	65
351	317	1061	0
317	352	737	0
353	354	359	359
355	356	273	273
356	317	720	720
357	358	592	0
359	107	384	384
107	360	4704	4704
361	362	170	170
363	357	170	0
189	364	97	0
365	366	414	0
366	367	257	0
367	368	93	0
369	370	292	292
370	371	187	0
371	372	223	0
373	374	801	0
374	365	698	698
375	376	767	0
251	377	163	0
378	379	855	855
380	381	1082	1082
