NAME: Beijing-6
VERTICES: 2820
DEPOT: 0
REQUIRED EDGES: 2151
NON-REQUIRED EDGES: 1433
VEHICLES: 36
CAPACITY: 25000
TOTAL COST OF REQUIRED EDGES: 883261
NODES	COST	DEMAND
0	1	437	0
1	2	194	0
3	4	197	197
5	6	209	209
7	8	296	296
9	10	695	695
11	12	257	0
13	14	57	0
15	16	89	89
16	17	546	546
18	19	250	250
20	21	2140	2140
22	23	344	0
24	25	569	569
26	27	87	0
28	29	791	0
29	30	264	264
31	32	674	0
32	33	441	0
34	0	118	0
35	36	60	60
37	38	181	0
39	40	198	198
41	42	481	481
43	44	294	0
44	45	471	471
46	29	427	427
29	47	659	659
48	49	214	214
50	51	287	0
51	52	158	158
53	54	684	684
55	53	69	69
30	29	264	264
29	28	790	790
56	57	185	0
58	59	277	277
60	61	125	0
61	62	932	0
63	64	981	0
65	66	224	0
67	68	957	0
69	70	364	364
70	51	433	0
71	72	62	0
72	73	2006	0
74	75	164	0
76	77	344	0
78	79	94	94
80	81	167	167
82	83	89	89
84	85	269	269
86	84	192	192
87	88	334	334
88	86	521	0
86	89	170	0
89	85	296	0
90	91	66	0
91	92	202	202
93	94	62	62
94	95	476	0
96	97	491	0
98	99	302	302
100	101	84	84
102	103	213	213
104	105	170	0
106	107	388	388
107	108	4119	4119
109	110	53	0
111	80	56	0
112	100	94	94
113	90	290	0
114	115	224	224
115	116	257	257
116	117	130	130
117	118	269	269
118	119	686	0
120	121	266	266
122	123	954	954
123	124	317	0
125	126	236	236
127	128	134	134
129	130	237	0
131	132	212	212
133	134	1115	1115
134	135	359	0
136	137	462	0
138	139	180	0
139	140	58	58
132	141	593	593
139	142	347	0
143	144	167	167
145	146	183	183
147	148	120	120
149	150	790	790
150	151	603	603
144	152	59	59
153	154	479	479
148	155	271	271
156	157	216	0
8	158	1111	0
159	160	197	197
160	161	498	498
162	163	1112	1112
164	165	78	78
166	167	950	950
168	166	417	417
169	143	184	184
170	145	167	167
171	172	652	0
172	138	572	0
173	174	796	0
175	176	859	859
176	177	152	152
177	178	344	0
178	179	218	218
179	180	896	896
180	181	143	143
182	183	339	0
184	171	298	298
185	186	496	496
187	188	265	0
188	189	594	594
190	191	309	309
192	193	247	247
194	195	197	0
196	197	52	52
197	198	182	0
198	199	56	56
199	200	520	0
201	202	298	298
203	173	781	781
204	205	865	865
206	207	519	519
208	209	317	317
210	211	1054	1054
212	213	423	423
214	215	96	96
215	198	509	509
198	216	78	78
216	217	681	0
218	219	804	0
219	220	338	338
68	221	299	0
221	222	550	550
223	224	340	340
225	226	525	525
226	227	51	51
15	17	624	624
228	229	248	248
230	228	424	0
195	231	72	72
232	233	156	156
233	234	136	136
235	236	172	172
236	237	880	880
238	239	518	0
240	241	534	534
242	243	243	243
244	245	88	88
246	247	447	447
247	248	743	743
249	250	269	269
251	252	56	56
253	254	291	291
255	246	180	180
252	256	316	316
256	257	379	0
257	258	215	215
259	260	331	0
261	262	402	0
263	264	520	520
265	266	189	189
264	267	1045	1045
248	247	742	0
247	268	446	0
269	270	204	0
270	271	185	185
272	273	304	0
274	275	277	0
276	277	464	0
278	279	461	461
280	281	528	528
282	283	533	533
283	284	528	528
285	286	50	0
287	288	486	486
68	289	174	0
289	290	327	0
290	291	181	0
291	292	347	0
241	293	139	139
293	294	166	0
295	285	52	52
249	296	199	199
297	298	400	400
249	299	215	215
300	301	307	0
302	303	57	0
304	208	542	542
305	196	802	0
306	307	183	183
308	309	180	0
310	311	169	169
312	313	288	288
314	315	765	0
315	316	53	53
317	318	326	326
284	319	693	0
320	206	781	0
321	322	280	0
323	324	796	796
324	325	358	0
326	327	305	0
328	329	694	694
329	330	108	0
331	298	52	52
298	332	602	602
332	333	498	498
334	335	374	374
329	336	55	55
337	338	101	101
339	329	56	56
340	341	448	0
323	341	251	0
342	121	266	0
343	103	79	0
130	344	211	211
