NAME: Hefei-2
VERTICES:  850
DEPOT:  0
REQUIRED EDGES: 242
NON-REQUIRED EDGES: 970
VEHICLES: 14
CAPACITY: 9000
TOTAL COST OF REQUIRED EDGES: 121998
NODES	COST	DEMAND
0	1	663	663
2	3	825	0
3	4	295	0
5	6	170	0
6	7	133	133
7	8	195	0
9	10	105	0
10	11	223	0
11	12	579	0
12	13	1453	0
14	15	156	156
15	16	174	174
16	17	198	0
18	19	580	0
19	20	2026	0
20	21	599	0
21	22	294	0
22	23	904	0
23	24	269	269
24	25	528	0
26	27	496	0
27	28	193	0
29	30	424	0
30	31	262	262
32	33	293	0
33	34	298	298
34	35	271	0
35	36	107	0
37	38	371	0
39	40	504	0
40	41	433	0
41	42	372	0
42	43	334	0
44	45	1252	0
45	46	1841	0
46	47	477	0
47	48	403	403
48	49	449	0
49	50	132	132
51	52	278	0
52	53	561	0
53	54	299	0
54	55	147	0
55	56	323	323
56	57	251	0
57	58	517	0
58	59	919	0
59	60	772	0
61	62	466	0
63	64	776	0
64	65	232	0
65	66	593	593
66	67	166	0
67	68	1097	1097
68	69	430	430
69	70	587	0
70	71	359	0
71	72	636	0
73	74	378	378
74	75	515	0
76	77	742	0
78	79	847	0
80	81	507	507
81	82	215	0
83	84	252	0
84	42	373	0
42	85	289	0
85	86	221	0
87	88	285	0
88	89	495	0
90	91	347	0
91	92	318	0
92	93	871	871
93	94	947	0
94	95	206	0
95	96	469	0
96	97	218	0
97	98	1183	0
98	99	423	0
99	100	982	982
100	101	460	460
101	102	488	0
103	104	227	227
104	105	415	0
105	106	358	358
106	107	229	0
107	108	254	254
108	109	1670	0
110	111	574	0
111	112	480	0
112	113	373	0
113	114	298	298
114	115	602	0
116	117	636	0
115	118	671	0
118	119	315	0
119	120	507	0
119	121	308	308
121	122	299	299
122	123	305	0
123	124	412	0
124	125	513	0
126	127	216	0
127	128	281	281
128	129	247	0
129	130	305	0
130	131	334	0
131	132	310	310
132	133	368	368
133	134	337	0
134	135	331	0
136	137	1106	0
138	139	550	0
140	141	564	564
142	143	1127	0
144	145	1386	0
145	146	126	0
146	147	175	0
147	148	699	699
148	149	164	0
150	151	1493	0
152	153	832	0
154	155	1055	0
155	156	768	0
156	157	156	0
158	159	583	0
159	160	241	0
160	128	352	0
128	161	728	728
161	162	346	0
162	163	608	608
164	165	798	0
165	166	821	0
166	167	1422	0
168	169	345	0
170	171	145	0
171	172	579	0
158	173	757	0
173	174	985	0
174	175	2830	0
175	176	1964	0
177	178	113	0
178	179	127	0
179	180	188	0
181	75	543	0
75	182	367	0
182	46	605	0
46	108	716	716
108	183	474	474
183	184	355	355
184	185	809	0
185	112	561	0
112	186	322	0
186	187	384	0
187	123	347	0
123	32	732	0
32	12	186	0
12	188	862	0
188	189	297	0
82	190	228	0
190	191	1576	0
191	192	962	0
192	193	262	0
193	194	573	0
194	195	397	0
195	196	1073	0
197	198	227	0
198	199	309	309
199	200	777	0
200	201	813	0
201	202	277	0
202	203	1598	1598
204	205	218	0
205	151	669	0
151	206	948	0
206	207	373	373
207	208	192	192
208	209	399	399
210	211	217	217
211	212	214	214
212	213	279	279
214	215	648	648
216	217	291	0
217	218	187	0
218	219	250	0
219	212	286	0
220	221	445	0
221	222	312	312
222	223	998	0
223	224	529	0
224	225	551	551
225	226	1049	0
226	227	2076	0
227	228	1795	1795
229	230	543	0
230	231	743	0
232	233	1097	1097
233	234	261	0
234	132	135	0
132	235	676	0
236	237	479	0
237	238	227	0
238	239	260	0
239	240	296	0
241	242	531	0
243	244	524	0
244	130	215	0
130	245	420	0
245	246	182	182
246	213	269	0
247	248	342	0
248	249	567	0
249	250	350	0
251	231	1241	1241
231	252	456	0
252	253	352	0
254	255	767	0
256	257	1917	0
257	258	207	0
258	259	2292	0
260	261	334	0
261	262	643	0
263	264	117	0
264	265	228	0
265	266	160	160
266	267	203	203
267	268	235	0
268	63	294	0
256	227	1884	0
227	269	978	0
270	216	281	0
216	271	242	0
272	230	133	133
230	273	282	0
274	275	167	167
275	276	244	244
276	277	219	0
277	278	330	330
279	280	380	0
280	281	140	140
281	282	310	0
282	283	384	0
284	285	227	0
285	286	300	0
286	287	438	0
288	278	296	296
278	289	227	0
290	154	489	489
154	291	442	0
291	242	494	0
292	293	2774	0
293	294	218	0
294	295	1469	0
295	296	223	0
296	218	744	0
218	276	326	0
276	135	1514	0
296	297	301	301
297	298	1423	0
299	229	778	778
229	254	1124	0
300	301	1014	0
302	303	1399	0
303	304	569	0
304	305	439	0
151	306	1060	0
306	300	138	0
307	308	1352	0
308	309	1003	0
310	311	312	312
312	310	152	0
310	313	244	0
314	159	496	0
159	315	229	0
315	246	262	0
316	317	501	0
317	318	151	0
318	319	182	0
319	320	508	0
320	321	428	428
321	322	225	0
322	323	409	0
324	325	226	0
325	326	186	0
326	327	286	286
327	328	440	0
328	329	233	0
329	330	609	0
330	331	308	0
331	332	128	128
332	333	2513	0
334	335	1040	0
336	144	310	0
337	338	740	740
339	340	1477	0
340	18	210	0
341	342	627	0
342	343	410	0
343	265	190	0
265	344	218	0
344	345	266	0
345	346	198	0
346	347	192	0
292	348	324	0
169	349	447	0
349	350	401	401
350	326	1081	1081
326	351	297	0
351	352	215	0
353	354	738	0
354	355	258	0
321	356	555	0
357	322	171	0
322	358	1024	0
358	359	384	0
359	360	549	0
360	361	137	0
361	98	412	0
98	362	337	0
242	363	754	0
354	193	305	305
364	29	490	0
117	365	356	0
365	257	289	0
257	366	556	0
366	226	1166	0
226	367	457	0
367	293	210	0
293	174	984	0
174	115	1019	0
368	369	297	0
369	370	200	200
370	371	219	0
371	372	238	0
372	40	206	0
40	373	284	0
373	374	239	0
263	86	227	0
86	375	349	0
375	370	443	0
376	377	379	0
377	378	283	0
