NAME: Hefei-9
VERTICES:  850
DEPOT:  0
REQUIRED EDGES: 1091
NON-REQUIRED EDGES: 121
VEHICLES: 63
CAPACITY: 9000
TOTAL COST OF REQUIRED EDGES: 558908
NODES	COST	DEMAND
0	1	663	663
2	3	825	825
3	4	295	295
5	6	170	170
6	7	133	133
7	8	195	195
9	10	105	105
10	11	223	223
11	12	579	579
12	13	1453	0
14	15	156	156
15	16	174	0
16	17	198	198
18	19	580	580
19	20	2026	2026
20	21	599	599
21	22	294	0
22	23	904	904
23	24	269	269
24	25	528	528
26	27	496	496
27	28	193	193
29	30	424	424
30	31	262	262
32	33	293	293
33	34	298	298
34	35	271	271
35	36	107	107
37	38	371	0
39	40	504	504
40	41	433	433
41	42	372	372
42	43	334	334
44	45	1252	1252
45	46	1841	1841
46	47	477	477
47	48	403	403
48	49	449	449
49	50	132	132
51	52	278	278
52	53	561	561
53	54	299	299
54	55	147	147
55	56	323	0
56	57	251	251
57	58	517	517
58	59	919	919
59	60	772	772
61	62	466	466
63	64	776	776
64	65	232	232
65	66	593	593
66	67	166	166
67	68	1097	1097
68	69	430	430
69	70	587	587
70	71	359	359
71	72	636	636
73	74	378	378
74	75	515	515
76	77	742	742
78	79	847	847
80	81	507	507
81	82	215	215
83	84	252	252
84	42	373	0
42	85	289	289
85	86	221	221
87	88	285	285
88	89	495	495
90	91	347	347
91	92	318	318
92	93	871	871
93	94	947	947
94	95	206	206
95	96	469	469
96	97	218	218
97	98	1183	1183
98	99	423	423
99	100	982	982
100	101	460	460
101	102	488	488
103	104	227	227
104	105	415	415
105	106	358	358
106	107	229	229
107	108	254	254
108	109	1670	1670
110	111	574	574
111	112	480	480
112	113	373	0
113	114	298	298
114	115	602	602
116	117	636	636
115	118	671	671
118	119	315	315
119	120	507	507
119	121	308	308
121	122	299	299
122	123	305	305
123	124	412	412
124	125	513	513
126	127	216	216
127	128	281	281
128	129	247	247
129	130	305	0
130	131	334	334
131	132	310	310
132	133	368	368
133	134	337	337
134	135	331	331
136	137	1106	1106
138	139	550	550
140	141	564	564
142	143	1127	0
144	145	1386	1386
145	146	126	0
146	147	175	175
147	148	699	699
148	149	164	164
150	151	1493	1493
152	153	832	832
154	155	1055	1055
155	156	768	768
156	157	156	156
158	159	583	583
159	160	241	241
160	128	352	352
128	161	728	728
161	162	346	0
162	163	608	608
164	165	798	798
165	166	821	821
166	167	1422	0
168	169	345	345
170	171	145	145
171	172	579	579
158	173	757	757
173	174	985	985
174	175	2830	2830
175	176	1964	1964
177	178	113	113
178	179	127	127
179	180	188	188
181	75	543	543
75	182	367	367
182	46	605	0
46	108	716	716
108	183	474	474
183	184	355	355
184	185	809	809
185	112	561	561
112	186	322	322
186	187	384	384
187	123	347	347
123	32	732	732
32	12	186	186
12	188	862	862
188	189	297	297
82	190	228	228
190	191	1576	1576
191	192	962	962
192	193	262	0
193	194	573	573
194	195	397	0
195	196	1073	1073
197	198	227	227
198	199	309	309
199	200	777	777
200	201	813	813
201	202	277	277
202	203	1598	0
204	205	218	218
205	151	669	669
151	206	948	0
206	207	373	373
207	208	192	192
208	209	399	399
210	211	217	217
211	212	214	214
212	213	279	279
214	215	648	648
216	217	291	291
217	218	187	187
218	219	250	250
219	212	286	0
220	221	445	445
221	222	312	312
222	223	998	998
223	224	529	529
224	225	551	551
225	226	1049	1049
226	227	2076	2076
227	228	1795	1795
229	230	543	0
230	231	743	0
