1 1 190 758 41 (D,0,1,1,0,0)(P,1,1,2,0,32)(P,3,2,4,0,49)(P,75,4,69,0,124)(P,74,69,59,0,135)(P,87,59,44,0,163)(P,48,44,46,0,176)(P,49,46,47,0,209)(P,51,47,49,0,218)(P,0,49,49,0,218)(S,52,49,50,8,226)(P,0,50,50,8,226)(S,54,50,52,10,228)(P,0,52,52,10,228)(S,57,52,54,14,232)(P,57,54,52,14,236)(P,0,52,52,14,236)(S,56,52,53,18,240)(P,55,53,51,18,244)(P,86,51,21,18,246)(P,0,21,21,18,246)(S,21,21,22,35,263)(P,0,22,22,35,263)(S,22,22,75,59,287)(P,0,75,75,59,287)(S,82,75,23,76,304)(P,0,23,23,76,304)(S,33,23,31,116,344)(P,0,31,31,116,344)(S,32,31,30,130,358)(P,32,30,31,130,372)(P,33,31,23,130,412)(P,0,23,23,130,412)(S,27,23,26,142,424)(P,0,26,26,142,424)(S,28,26,27,157,439)(P,28,27,26,157,454)(P,0,26,26,157,454)(S,26,26,25,174,471)(P,0,25,25,174,471)(S,25,25,75,190,487)(D,0,1,1,190,758)
1 2 189 872 26 (D,0,1,1,0,0)(P,1,1,2,0,32)(P,3,2,4,0,49)(P,4,4,5,0,105)(P,6,5,7,0,111)(P,7,7,8,0,129)(P,8,8,9,0,155)(P,9,9,10,0,175)(P,0,10,11,0,187)(P,10,11,12,0,219)(P,0,12,76,0,226)(P,83,76,20,0,234)(P,19,20,18,0,255)(P,0,18,18,0,255)(S,81,18,72,92,347)(P,0,72,72,92,347)(S,77,72,71,98,353)(P,0,71,71,98,353)(S,76,71,70,154,409)(P,76,70,71,154,465)(P,0,71,71,154,465)(S,78,71,73,159,470)(P,0,73,73,159,470)(S,80,73,74,184,495)(P,80,74,73,184,520)(P,0,73,73,184,520)(S,79,73,72,189,525)(D,0,1,1,189,872)
1 3 188 857 27 (D,0,1,1,0,0)(P,1,1,2,0,32)(P,3,2,4,0,49)(P,75,4,69,0,124)(P,73,69,58,0,156)(P,62,58,57,0,234)(P,61,57,42,0,248)(P,0,42,41,0,266)(P,0,41,41,0,266)(S,44,41,35,15,281)(P,0,35,35,15,281)(S,43,35,39,22,288)(P,0,39,39,22,288)(S,41,39,37,43,309)(P,0,37,37,43,309)(S,40,37,38,51,317)(P,40,38,37,51,325)(P,0,37,37,51,325)(S,39,37,33,126,400)(P,0,33,33,126,400)(S,38,33,36,153,427)(P,38,36,33,153,454)(P,0,33,33,153,454)(S,35,33,32,183,484)(P,37,32,35,183,570)(P,43,35,39,183,577)(P,0,39,39,183,577)(S,42,39,40,188,582)(D,0,1,1,188,857)
1 4 189 839 21 (D,0,1,1,0,0)(P,1,1,2,0,32)(P,3,2,4,0,49)(P,75,4,69,0,124)(P,73,69,58,0,156)(P,62,58,57,0,234)(P,61,57,42,0,248)(P,0,42,41,0,266)(P,44,41,35,0,281)(P,0,35,35,0,281)(S,37,35,32,86,367)(P,0,32,32,86,367)(S,36,32,34,129,410)(P,36,34,32,129,453)(P,0,32,32,129,453)(S,34,32,31,187,511)(P,33,31,23,187,551)(P,82,23,75,187,568)(P,22,75,22,187,592)(P,21,22,21,187,609)(P,0,21,21,187,609)(S,86,21,51,189,611)(D,0,1,1,189,839)
1 5 183 744 23 (D,0,1,1,0,0)(P,1,1,2,0,32)(P,3,2,4,0,49)(P,75,4,69,0,124)(P,73,69,58,0,156)(P,65,58,60,0,189)(P,66,60,61,0,228)(P,0,61,61,0,228)(S,66,61,60,39,267)(P,0,60,60,39,267)(S,67,60,62,62,290)(P,0,62,62,62,290)(S,71,62,66,78,306)(P,0,66,66,78,306)(S,72,66,68,123,351)(P,72,68,66,123,396)(P,71,66,62,123,412)(P,0,62,62,123,412)(S,68,62,63,153,442)(P,0,63,63,153,442)(S,70,63,65,174,463)(P,70,65,63,174,484)(P,0,63,63,174,484)(S,69,63,64,183,493)(D,0,1,1,183,744)
1 6 190 659 32 (D,0,1,1,0,0)(P,1,1,2,0,32)(P,3,2,4,0,49)(P,75,4,69,0,124)(P,74,69,59,0,135)(P,0,59,59,0,135)(S,87,59,44,28,163)(P,0,44,44,28,163)(S,48,44,46,41,176)(P,49,46,47,41,209)(P,0,47,47,41,209)(S,50,47,48,51,219)(P,50,48,47,51,229)(P,0,47,47,51,229)(S,51,47,49,60,238)(P,0,49,49,60,238)(S,53,49,51,70,248)(P,0,51,51,70,248)(S,55,51,53,74,252)(P,0,53,53,74,252)(S,58,53,24,98,276)(P,0,24,24,98,276)(S,24,24,25,125,303)(P,0,25,25,125,303)(S,31,25,29,152,330)(P,0,29,29,152,330)(S,30,29,28,168,346)(P,0,28,28,168,346)(S,29,28,26,186,364)(P,26,26,25,186,381)(P,24,25,24,186,408)(P,0,24,24,186,408)(S,23,24,22,190,412)(D,0,1,1,190,659)
1 7 189 643 27 (D,0,1,1,0,0)(P,1,1,2,0,32)(P,3,2,4,0,49)(P,4,4,5,0,105)(P,0,5,5,0,105)(S,6,5,7,6,111)(P,0,7,7,6,111)(S,7,7,8,24,129)(P,8,8,9,24,155)(P,0,9,9,24,155)(S,9,9,10,44,175)(P,0,10,11,44,187)(P,10,11,12,44,219)(P,0,12,76,44,226)(P,0,76,76,44,226)(S,85,76,77,79,261)(P,0,77,77,79,261)(S,14,77,13,91,273)(P,14,13,77,91,285)(P,0,77,77,91,285)(S,84,77,15,104,298)(P,0,15,15,104,298)(S,15,15,17,130,324)(P,15,17,15,130,350)(P,0,15,15,130,350)(S,16,15,18,168,388)(P,0,18,18,168,388)(S,19,18,20,189,409)(D,0,1,1,189,643)
1 8 190 621 28 (D,0,1,1,0,0)(P,1,1,2,0,32)(P,3,2,4,0,49)(P,4,4,5,0,105)(P,6,5,7,0,111)(P,7,7,8,0,129)(P,0,8,8,0,129)(S,8,8,9,26,155)(P,9,9,10,26,175)(P,0,10,11,26,187)(P,0,11,11,26,187)(S,10,11,12,58,219)(P,0,12,12,58,219)(S,11,12,16,87,248)(P,0,16,16,87,248)(S,12,16,13,100,261)(P,0,13,13,100,261)(S,13,13,14,107,268)(P,0,14,15,107,275)(P,16,15,18,107,313)(P,0,18,18,107,313)(S,17,18,19,148,354)(P,0,19,19,148,354)(S,59,19,50,178,384)(P,52,50,49,178,392)(P,51,49,47,178,401)(P,49,47,46,178,434)(P,0,46,46,178,434)(S,47,46,45,190,446)(D,0,1,1,190,621)
1 9 188 588 18 (D,0,1,1,0,0)(P,1,1,2,0,32)(P,3,2,4,0,49)(P,75,4,69,0,124)(P,73,69,58,0,156)(P,0,58,58,0,156)(S,62,58,57,78,234)(P,0,57,57,78,234)(S,61,57,42,92,248)(P,0,42,56,92,274)(P,60,56,55,92,280)(P,0,55,55,92,280)(S,60,55,56,98,286)(P,0,56,42,98,312)(P,0,42,43,98,323)(P,0,43,43,98,323)(S,45,43,44,176,401)(P,0,44,44,176,401)(S,46,44,45,188,413)(D,0,1,1,188,588)
1 10 189 560 19 (D,0,1,1,0,0)(P,1,1,2,0,32)(P,3,2,4,0,49)(P,75,4,69,0,124)(P,74,69,59,0,135)(P,0,59,59,0,135)(S,64,59,11,78,213)(P,10,11,12,78,245)(P,0,12,76,78,252)(P,0,76,76,78,252)(S,83,76,20,86,260)(P,0,20,20,86,260)(S,18,20,19,118,292)(P,0,19,19,118,292)(S,20,19,21,156,330)(P,86,21,51,156,332)(P,53,51,49,156,342)(P,51,49,47,156,351)(P,0,47,47,156,351)(S,49,47,46,189,384)(D,0,1,1,189,560)
