NAME: Shenzhen-0
VERTICES:  917
DEPOT:  161
REQUIRED EDGES: 660
NON-REQUIRED EDGES: 0
VEHICLES: 100
CAPACITY: 25000
TOTAL COST OF REQUIRED EDGES: 1540260
NODES COST DEMAND
0	566	2030	2030
1	567	9700	9700
2	568	3980	3980
2	569	2030	2030
3	92	6615	6615
4	11	3350	3350
5	570	2000	2000
6	569	990	990
7	571	852	852
8	3	2160	2160
9	572	3019	3019
10	573	2150	2150
11	15	2190	2190
12	574	580	580
13	5	955	955
14	575	237	237
15	576	2000	2000
16	31	3788	3788
17	16	487	487
18	18	5384	5384
19	2	9093	9093
20	577	1867	1867
21	577	2802	2802
22	578	4127	4127
23	28	3516	3516
25	579	850	850
26	2	2108	2108
27	2	11068	11068
28	2	3786	3786
29	20	2553	2553
30	580	5838	5838
31	581	4066	4066
32	104	1846	1846
23	27	4465	4465
33	36	2897	2897
34	26	8696	8696
29	582	144	144
35	2	9097	9097
36	583	2860	2860
37	17	383	383
28	38	526	526
38	584	309	309
28	585	134	134
28	585	140	140
39	586	2058	2058
40	587	208	208
41	588	2460	2460
42	31	313	313
43	27	9050	9050
44	589	1400	1400
45	590	6100	6100
46	29	2900	2900
47	591	665	665
48	592	5100	5100
49	104	3528	3528
50	593	456	456
51	594	764	764
52	51	147	147
53	594	95	95
29	595	5600	5600
54	75	1000	1000
29	596	2700	2700
55	27	2400	2400
56	597	1580	1580
57	58	10130	10130
58	598	1492	1492
41	599	7405	7405
59	59	1218	1218
60	60	689	689
61	63	900	900
62	600	2300	2300
63	601	2100	2100
64	602	2729	2729
65	603	3600	3600
66	65	4400	4400
67	604	3021	3021
68	605	3421	3421
69	69	2742	2742
70	606	5434	5434
71	607	3925	3925
72	608	1550	1550
73	609	922	922
74	610	556	556
75	611	5400	5400
76	612	7960	7960
77	613	6850	6850
78	614	4084	4084
79	615	480	480
80	616	633	633
81	598	8222	8222
82	617	2410	2410
83	618	1680	1680
83	618	1680	1680
84	84	1120	1120
47	619	381	381
85	47	664	664
84	620	560	560
86	84	630	630
47	86	2250	2250
65	71	1378	1378
87	621	532	532
88	622	6840	6840
89	623	3300	3300
90	624	696	696
91	625	1800	1800
92	626	2385	2385
93	627	2705	2705
94	93	914	914
95	628	11390	11390
96	629	2630	2630
97	630	440	440
98	631	1880	1880
99	632	3310	3310
100	633	830	830
100	633	800	800
101	634	3500	3500
102	103	443	443
103	635	1280	1280
104	112	770	770
105	636	1610	1610
103	134	1500	1500
106	134	780	780
107	106	1500	1500
106	134	790	790
108	134	2330	2330
109	637	3048	3048
110	638	1324	1324
107	134	2962	2962
111	639	1500	1500
112	134	2320	2320
113	106	2000	2000
101	640	3390	3390
114	219	3250	3250
115	638	996	996
55	161	800	800
116	641	1550	1550
117	101	4900	4900
118	117	2800	2800
119	114	6600	6600
120	106	1280	1280
121	639	3300	3300
122	114	2350	2350
117	99	5000	5000
123	642	2591	2591
124	106	1850	1850
125	114	3100	3100
126	643	4800	4800
127	126	5900	5900
106	644	650	650
128	106	2270	2270
127	106	1000	1000
129	645	3010	3010
118	646	4500	4500
127	176	700	700
130	647	617	617
131	127	6460	6460
55	55	2500	2500
132	155	1341	1341
132	648	1539	1539
133	55	4648	4648
134	649	5917	5917
135	650	940	940
136	648	7450	7450
135	394	5218	5218
137	131	4974	4974
77	137	5500	5500
138	651	1257	1257
139	652	2411	2411
140	653	4665	4665
141	142	2200	2200
142	652	2110	2110
143	654	1474	1474
140	655	2280	2280
144	134	2000	2000
145	656	1759	1759
144	657	853	853
134	652	1027	1027
146	658	1307	1307
147	659	3000	3000
148	660	1088	1088
149	661	4000	4000
150	117	350	350
114	662	1440	1440
151	634	950	950
152	219	700	700
100	106	1180	1180
153	663	4438	4438
118	664	2480	2480
154	665	196	196
120	639	3100	3100
106	203	510	510
155	55	700	700
99	666	1585	1585
156	160	3400	3400
157	156	6400	6400
158	667	2600	2600
159	158	2000	2000
160	159	1800	1800
161	668	3610	3610
162	149	2000	2000
163	669	5410	5410
164	156	1900	1900
161	670	850	850
165	671	1721	1721
166	672	1534	1534
167	168	2240	2240
168	161	4185	4185
169	673	5400	5400
134	674	2511	2511
170	675	968	968
171	106	1830	1830
172	134	2550	2550
127	172	1200	1200
173	134	2386	2386
174	134	2272	2272
175	676	2897	2897
176	644	2486	2486
177	134	1918	1918
178	106	907	907
179	176	2188	2188
